,Espérance de vie (en années),,,,Survivants à 65 ans                      (p.1 000 à la naissance),,Taux de mortalité (p.1 000 naissances vivantes),
,À la naissance,,À 65 ans,,,,,
 Année , Hommes ,Femmes,Hommes,Femmes,Hommes,Femmes,Infantile(1),Néo-natale(2)
1740,"23,8","25,7",,,,,,
1741,"23,8","25,7",,,,,,
1742,"23,8","25,7",,,,,,
1743,"23,8","25,7",,,,,,
1744,"23,8","25,7",,,,,,
1745,"23,8","25,7",,,,,,
1746,"23,8","25,7",,,,,,
1747,"23,8","25,7",,,,,,
1748,"23,8","25,7",,,,,,
1749,"23,8","25,7",,,,,,
1750,"27,1","28,7",,,,,,
1751,"27,1","28,7",,,,,,
1752,"27,1","28,7",,,,,,
1753,"27,1","28,7",,,,,,
1754,"27,1","28,7",,,,,,
1755,"27,1","28,7",,,,,,
1756,"27,1","28,7",,,,,,
1757,"27,1","28,7",,,,,,
1758,"27,1","28,7",,,,,,
1759,"27,1","28,7",,,,,,
1760,"26,4","29,0",,,,,,
1761,"26,4","29,0",,,,,,
1762,"26,4","29,0",,,,,,
1763,"26,4","29,0",,,,,,
1764,"26,4","29,0",,,,,,
1765,"26,4","29,0",,,,,,
1766,"26,4","29,0",,,,,,
1767,"26,4","29,0",,,,,,
1768,"26,4","29,0",,,,,,
1769,"26,4","29,0",,,,,,
1770,"28,2","29,6",,,,,,
1771,"28,2","29,6",,,,,,
1772,"28,2","29,6",,,,,,
1773,"28,2","29,6",,,,,,
1774,"28,2","29,6",,,,,,
1775,"28,2","29,6",,,,,,
1776,"28,2","29,6",,,,,,
1777,"28,2","29,6",,,,,,
1778,"28,2","29,6",,,,,,
1779,"28,2","29,6",,,,,,
1780,"27,5","28,1",,,,,,
1781,"27,5","28,1",,,,,,
1782,"27,5","28,1",,,,,,
1783,"27,5","28,1",,,,,,
1784,"27,5","28,1",,,,,,
1785,"27,5","28,1",,,,,,
1786,"27,5","28,1",,,,,,
1787,"27,5","28,1",,,,,,
1788,"27,5","28,1",,,,,,
1789,"27,5","28,1",,,,,,
1790,n.d,"32,1",,,,,,
1791,n.d,"32,1",,,,,,
1792,n.d,"32,1",,,,,,
1793,n.d,"32,1",,,,,,
1794,n.d,"32,1",,,,,,
1795,n.d,"32,1",,,,,,
1796,n.d,"32,1",,,,,,
1797,n.d,"32,1",,,,,,
1798,n.d,"32,1",,,,,,
1799,n.d,"32,1",,,,,,
1800,n.d,"34,9",,,,,,
1801,n.d,"34,9",,,,,,
1802,n.d,"34,9",,,,,,
1803,n.d,"34,9",,,,,,
1804,n.d,"34,9",,,,,,
1805,n.d,"34,9",,,,,,
1806,"32,8","34,9","10,3","10,5",200,258,,
1807,"32,0","34,9","10,3","10,4",194,253,,
1808,"31,2","34,9","10,4","10,5",180,271,,
1809,"31,3","34,9","10,9","11,0",190,294,,
1810,"35,3","39,7","10,9","11,0",248,306,,
1811,"34,0","38,4","10,8","10,8",231,290,,
1812,"24,3","39,5","10,2","10,3",102,289,,
1813,"23,8","38,9","10,6","10,7",102,287,,
1814,"23,8","36,7","10,3","10,4",101,252,,
1815,"34,2","39,0","10,9","11,1",236,296,,
1816,"38,9","41,0","10,7","10,9",287,312,,
1817,"37,7","39,8","10,6","11,1",269,298,,
1818,"37,7","38,7","11,0","11,1",277,288,,
1819,"36,5","37,8","11,1","11,2",270,281,,
1820,"38,0","39,5","10,6","10,7",282,297,,
1821,"38,6","39,8","11,4","11,5",300,311,,
1822,"37,3","38,7","11,3","11,5",287,303,,
1823,"39,0","40,9","11,2","11,6",305,327,,
1824,"38,2","39,9","11,4","11,7",301,317,,
1825,"37,4","38,4","11,3","11,6",288,296,,
1826,"36,6","37,7","10,8","11,0",274,286,,
1827,"38,4","39,9","10,9","11,3",289,306,,
1828,"36,6","38,1","10,8","11,0",272,289,,
1829,"38,5","40,1","10,6","10,7",288,309,,
1830,"38,3","39,9","10,5","10,8",289,307,,
1831,"38,2","40,0","10,8","11,0",296,314,,
1832,"34,8","36,2","9,8","9,9",230,238,,
1833,"38,0","39,5","10,8","11,2",287,301,,
1834,"34,1","35,6","10,5","10,9",249,260,,
1835,"38,2","40,2","10,7","11,2",285,308,,
1836,"40,6","42,3","10,8","11,4",320,340,,
1837,"38,5","39,7","9,8","10,0",281,293,,
1838,"38,5","39,8","10,7","11,1",292,309,,
1839,"40,2","41,4","11,2","11,5",314,328,,
1840,"39,1","40,7","10,8","11,1",295,314,,
1841,"39,1","41,3","11,2","11,5",301,330,,
1842,"38,8","40,7","10,8","11,0",295,318,,
1843,"39,9","41,3","11,0","11,3",312,331,,
1844,"41,5","42,8","11,0","11,4",329,346,,
1845,"42,6","43,9","11,2","11,6",344,361,,
1846,"39,4","40,8","11,0","11,4",309,325,,
1847,"39,3","40,9","10,3","10,6",288,312,,
1848,"39,3","41,0","10,6","10,9",294,317,,
1849,"35,1","36,7","10,3","10,4",233,252,,
1850,"42,4","43,8","11,1","11,4",335,356,,
1851,"40,7","42,0","10,9","11,2",323,340,,
1852,"40,4","41,6","10,8","11,2",318,333,,
1853,"41,5","42,9","10,6","10,9",329,345,,
1854,"34,8","36,6","9,8","10,0",232,249,,
1855,"35,0","39,0","10,0","10,4",245,293,,
1856,"38,5","40,9","11,1","11,3",297,326,,
1857,"38,7","39,9","10,8","11,0",299,311,,
1858,"39,2","39,9","10,5","10,5",300,306,,
1859,"34,4","35,7","10,5","10,7",254,271,,
1860,"42,4","43,6","10,9","11,4",337,357,,
1861,"39,1","40,3","11,0","11,4",310,326,,
1862,"41,8","43,0","11,1","11,4",335,354,,
1863,"40,8","42,1","10,9","11,2",322,344,,
1864,"41,0","42,5","10,5","10,9",318,345,,
1865,"38,7","40,3","10,4","10,8",291,320,,
1866,"40,5","42,1","10,4","10,9",305,334,,
1867,"41,2","42,8","10,5","11,0",322,352,,
1868,"39,0","40,8","10,4","10,9",297,329,,
1869,"40,0","42,0","10,5","11,0",306,340,,
1870,"33,7","37,7","9,6","10,2",222,279,,
1871,"26,3","31,7","9,4","10,1",131,201,,
1872,"41,8","44,0","11,2","11,9",329,364,,
1873,"40,4","42,4","10,5","11,2",314,346,,
1874,"42,6","44,8","10,7","11,3",344,376,,
1875,"41,0","43,2","10,4","10,9",317,351,,
1876,"41,6","44,1","10,7","11,4",322,364,,
1877,"43,0","45,0","11,0","11,7",343,377,,
1878,"42,0","44,1","10,6","11,3",332,366,,
1879,"42,8","45,0","10,3","11,1",333,371,,
1880,"41,0","43,2","10,7","11,4",322,358,,
1881,"41,8","44,3","11,1","11,8",329,369,,
1882,"41,7","44,3","11,0","11,8",325,366,,
1883,"41,9","44,4","11,0","11,8",326,368,,
1884,"41,0","43,7","11,0","11,9",318,361,,
1885,"42,2","44,9","11,1","11,9",329,373,,
1886,"41,2","43,9","11,0","11,8",319,362,,
1887,"42,3","44,8","11,0","11,8",327,370,,
1888,"42,4","45,5","10,7","11,5",337,387,,
1889,"44,0","46,9","11,0","11,9",358,404,,
1890,"41,3","44,3","10,4","11,1",318,368,,
1891,"42,2","45,2","10,1","10,8",327,377,,
1892,"41,9","44,8","10,2","10,9",327,379,,
1893,"42,0","45,2","10,4","11,0",328,383,,
1894,"43,9","47,2","10,7","11,4",348,408,,
1895,"42,7","46,2","10,3","11,0",335,397,,
1896,"45,4","48,7","11,1","11,7",368,430,,
1897,"46,2","49,3","11,2","11,9",385,442,,
1898,"44,5","47,4","10,7","11,3",361,417,,
1899,"43,7","47,1","10,5","11,4",346,411,,
1900,"43,4","47,0","10,0","10,9",329,400,,
1901,"45,4","49,0","10,5","11,5",357,430,"151,1",
1902,"46,4","49,9","10,6","11,7",370,442,"143,3",
1903,"46,8","50,2","10,7","11,7",380,448,"145,3",
1904,"46,5","49,8","10,6","11,6",377,446,"152,9",
1905,"46,7","50,3","10,4","11,5",367,444,"144,5",
1906,"46,0","49,7","10,3","11,6",360,439,"151,5",
1907,"46,5","50,3","10,0","11,1",352,440,"137,7",
1908,"47,5","51,4","10,5","11,7",373,460,"136,9",
1909,"48,1","52,1","10,1","11,2",375,465,"125,4",
1910,"49,5","53,4","10,7","12,0",400,488,"118,6",
1911,"46,3","50,1","10,2","11,4",370,453,"163,1",
1912,"49,6","53,8","10,8","12,1",399,494,"112,4",
1913,"49,4","53,5","10,7","12,0",401,493,"119,9",
1914,"29,6","53,3","10,2","11,5",123,484,"116,7",
1915,"27,2","52,6","10,2","11,6",92,475,"130,4",
1916,"30,9","52,5","10,4","11,8",142,482,"125,1",
1917,"35,6","52,0","10,2","11,6",211,479,"135,1",
1918,"28,6","43,3","10,4","11,6",117,345,"150,3",
1919,"43,7","50,3","10,7","11,9",332,451,"130,9",
1920,"50,2","54,0","11,2","12,6",424,503,"123,3",
1921,"50,7","54,8","11,1","12,5",426,513,"121,3",
1922,"52,9","56,9","10,6","12,0",441,531,"90,5",
1923,"52,6","56,7","11,1","12,7",446,536,"101,8",
1924,"53,0","57,4","10,8","12,4",442,541,"89,8",
1925,"52,1","56,7","10,7","12,3",427,533,"94,8",
1926,"51,8","56,2","10,7","12,4",428,528,"101,8",
1927,"53,7","57,8","10,9","12,5",458,552,"87,8",
1928,"53,3","57,6","11,1","12,7",455,552,"96,8",
1929,"51,9","56,5","10,4","11,8",427,535,"100,3",
1930,"54,4","59,3","11,2","13,1",458,571,"83,8",
1931,"54,5","59,2","10,8","12,5",461,572,"79,9",
1932,"54,7","59,7","11,0","12,8",466,578,"81,6",
1933,"55,1","60,2","10,9","12,8",467,583,"78,4",
1934,"55,5","61,2","11,2","13,2",471,600,"74,4",
1935,"55,4","61,1","10,9","12,9",463,594,"72,5",
1936,"55,9","61,7","11,0","13,1",472,605,"71,8",
1937,"56,1","62,1","11,2","13,3",476,612,"70,0",
1938,"55,9","62,0","11,0","13,1",469,610,"70,4",
1939,"56,5","62,6","10,9","13,0",479,622,"68,3",
1940,"42,6","59,0","9,8","11,8",274,570,"91,4",
1941,"53,9","61,2","10,4","12,8",432,602,"75,0",
1942,"53,7","61,5","10,3","12,8",441,612,"76,7",
1943,"48,9","58,1","11,0","13,0",381,560,"81,0",
1944,"41,8","53,7","10,5","12,3",262,478,"82,3",
1945,"51,3","58,6","11,3","13,1",440,585,"113,7",
1946,"59,9","65,2","12,2","14,3",574,681,"77,8",
1947,"61,2","66,7","12,3","14,5",589,703,"71,1",
1948,"62,7","68,8","12,5","15,0",599,727,"55,9",
1949,"62,2","67,6","11,8","14,0",595,716,"60,3",
1950,"63,4","69,2","12,2","14,6",609,736,"52,0","26,0"
1951,"63,1","68,9","11,8","14,2",602,732,"50,8","24,0"
1952,"64,4","70,2","12,3","14,8",623,752,"45,2","22,4"
1953,"64,3","70,3","11,8","14,4",617,753,"41,9","22,0"
1954,"65,0","71,2","12,4","15,1",629,765,"40,7","21,6"
1955,"65,2","71,5","12,3","15,1",631,772,"38,6","20,8"
1956,"65,2","71,7","12,1","14,9",626,776,"36,2","20,5"
1957,"65,5","72,2","12,2","15,2",631,783,"33,8","19,5"
1958,"66,8","73,2","12,8","15,6",660,801,"31,4","18,9"
1959,"66,8","73,4","12,8","15,7",657,801,"29,6","18,1"
1960,"67,0","73,6","12,6","15,6",658,806,"27,4","17,6"
1961,"67,5","74,4","13,0","16,1",664,815,"25,7","16,7"
1962,"67,0","73,9","12,6","15,7",656,811,"25,7","16,7"
1963,"66,8","73,9","12,4","15,6",652,810,"25,6","16,6"
1964,"67,7","74,8","12,9","16,4",667,820,"23,4","15,9"
1965,"67,5","74,7","12,6","16,2",661,820,"21,9","15,2"
1966,"67,8","75,2","12,9","16,5",669,824,"21,7","14,9"
1967,"67,8","75,2","12,8","16,5",668,826,"20,7","14,5"
1968,"67,8","75,2","12,7","16,4",669,827,"20,4","14,2"
1969,"67,4","75,1","12,5","16,3",661,824,"19,6","13,7"
1970,"68,4","75,9","13,0","16,8",682,834,"18,2","12,6"
1971,"68,3","75,9","13,0","16,8",680,836,"17,2","12,0"
1972,"68,5","76,2","13,1","17,0",683,838,"16,0","11,2"
1973,"68,7","76,3","13,1","17,0",688,842,"15,4","10,6"
1974,"68,9","76,7","13,3","17,2",690,847,"14,6","9,9"
1975,"69,0","76,9","13,2","17,2",691,849,"13,8","9,2"
1976,"69,2","77,2","13,3","17,4",693,853,"12,5","8,1"
1977,"69,7","77,8","13,7","17,9",702,860,"11,4","7,4"
1978,"69,8","78,0","13,7","17,9",704,861,"10,7","6,7"
1979,"70,1","78,3","13,9","18,1",707,864,"10,0","6,0"
1980,"70,2","78,4","14,0","18,2",710,866,"10,0","5,8"
1981,"70,4","78,5","14,0","18,2",714,869,"9,7","5,5"
1982,"70,7","78,9","14,3","18,5",718,872,"9,5","5,3"
1983,"70,7","78,8","14,2","18,4",719,872,"9,1","5,0"
1984,"71,2","79,3","14,5","18,8",724,878,"8,3","4,7"
1985,"71,3","79,4","14,5","18,8",727,880,"8,3","4,6"
1986,"71,5","79,7","14,7","19,0",731,882,"8,0","4,3"
1987,"72,0","80,3","15,0","19,4",740,886,"7,8","4,1"
1988,"72,3","80,5","15,3","19,6",744,888,"7,8","4,1"
1989,"72,5","80,6","15,4","19,7",746,889,"7,5","3,8"
1990,"72,7","81,0","15,6","19,9",752,893,"7,3","3,6"
1991,"72,9","81,2","15,7","20,1",754,894,"7,3","3,5"
1992,"73,2","81,5","15,9","20,4",758,896,"6,8","3,3"
1993,"73,3","81,5","15,9","20,4",760,895,"6,5","3,2"
1994,"73,7","81,9","16,2","20,7",766,898,"5,9","3,2"
1995,"73,9","81,9","16,1","20,6",771,900,"4,9","2,9"
1996,"74,1","82,1","16,1","20,7",776,901,"4,8","3,0"
1997,"74,6","82,3","16,3","20,9",784,904,"4,7","3,0"
1998,"74,8","82,4","16,4","20,9",789,905,"4,6","2,9"
1999,"75,0","82,5","16,5","21,0",793,906,"4,3","2,8"
2000,"75,3","82,8","16,7","21,2",797,908,"4,4","2,8"
2001,"75,5","82,9","16,9","21,4",799,908,"4,5","2,9"
2002,"75,8","83,1","17,1","21,4",802,909,"4,1","2,7"
2003,"75,9","83,0","17,1","21,3",804,910,"4,0","2,6"
2004,"76,7","83,9","17,7","22,2",815,913,"3,9","2,6"
2005,"76,8","83,9","17,7","22,0",816,914,"3,6","2,3"
2006,"77,2","84,2","18,0","22,4",820,915,"3,7","2,3"
2007,"77,4","84,4","18,2","22,5",823,917,"3,6","2,4"
2008,"77,6","84,4","18,3","22,5",825,917,"3,6","2,4"
2009,"77,8","84,5","18,4","22,6",826,917,"3,7","2,4"
2010,"78,0","84,7","18,6","22,7",829,918,"3,5","2,3"
2011,"78,4","85,0","18,9","23,0",834,920,"3,3","2,2"
2012,"78,5","84,8","18,8","22,8",836,921,"3,3","2,3"
2013,"78,8","85,0","19,0","23,0",840,922,"3,5","2,4"
2014,"79,3","85,4","19,4","23,3",846,923,"3,3","2,3"
2015,"79,0","85,1","19,1","23,0",844,923,"3,5","2,5"
2016,"79,3","85,3","19,3","23,2",847,924,"3,5","2,5"
2017*,"79,5","85,4","19,4","23,2",850,923,"3,6","2,7"
2018*,"79,6","85,5","19,4","23,2",n.d.,n.d.,"3,6","2,6"
2019*,"79,8","85,7",,,,,,